Province/territory,"Number of newborns born in hospital, 2008–2009","Number of newborns born in hospital, 2009–2010","Number of newborns born in hospital, 2010–2011","Number of newborns born in hospital, 2011–2012","Number of newborns born in hospital, 2012–2013","Number of newborns born in hospital, 2013–2014","Number of newborns born in hospital, 2014–2015","Number of newborns born in hospital, 2015–2016","Number of newborns born in hospital, 2016–2017","Number of newborns born in hospital, 2017–2018","Number of newborns born in hospital, 2018–2019","Number of newborns born in hospital, 2019–2020","Number of newborns born in hospital, 2020–2021","Number of newborns born in hospital, 2021–2022","Number of newborns born in hospital, 2022–2023","Number of newborns born in hospital, 2023–2024","Number of newborns born in hospital, 2024–2025","Average length of stay (in days) for newborns born in hospital, 2008–2009","Average length of stay (in days) for newborns born in hospital, 2009–2010","Average length of stay (in days) for newborns born in hospital, 2010–2011","Average length of stay (in days) for newborns born in hospital, 2011–2012","Average length of stay (in days) for newborns born in hospital, 2012–2013","Average length of stay (in days) for newborns born in hospital, 2013–2014","Average length of stay (in days) for newborns born in hospital, 2014–2015","Average length of stay (in days) for newborns born in hospital, 2015–2016","Average length of stay (in days) for newborns born in hospital, 2016–2017","Average length of stay (in days) for newborns born in hospital, 2017–2018","Average length of stay (in days) for newborns born in hospital, 2018–2019","Average length of stay (in days) for newborns born in hospital, 2019–2020","Average length of stay (in days) for newborns born in hospital, 2020–2021","Average length of stay (in days) for newborns born in hospital, 2021–2022","Average length of stay (in days) for newborns born in hospital, 2022–2023","Average length of stay (in days) for newborns born in hospital, 2023–2024","Average length of stay (in days) for newborns born in hospital, 2024–2025"
N.L.,4893.0,4927.0,4777.0,4441.0,4433.0,4560.0,4532.0,4437.0,4455,4033.0,3985.0,3714,3619,3835.0,3517.0,3296.0,3325.0,3.7173202614379086,3.7240259740259742,3.666108436257065,3.74915559558658,3.9,3.7,3.4,3.6,3.5,3.5,3.4,3.6812062466343565,3.2216081790549875,3.655541069,3.5,3.0273058252427183,3.608120301
P.E.I.,1395.0,1418.0,1367.0,1417.0,1281.0,1387.0,1368.0,1321.0,1373,1272.0,1291.0,1306,1324,1382.0,1310.0,1310.0,1314.0,3.693906810035842,3.949929478138223,3.7980980248719822,3.63161609033169,3.9,3.6,3.4,3.3,3.3,3.2,3.1,3.150842266462481,3.117824773413897,3.039073806,2.6,2.9374045801526716,2.956621005
N.S.,8958.0,9085.0,8774.0,8947.0,8682.0,8419.0,8502.0,8293.0,8289,8251.0,7896.0,8050,7603,8091.0,7783.0,7951.0,7829.0,3.590310337128823,3.845789763346175,3.8176430362434464,3.54666368615178,3.7,3.8,3.6,3.5,3.3,3.3,3.2,3.127701863354037,3.0920689201630935,3.068223953,3.0,3.0797383976858255,3.113424448
N.B.,7452.0,7450.0,7364.0,7152.0,7093.0,6915.0,6919.0,6511.0,6624,6444.0,6355.0,6199,6174,6277.0,6116.0,6110.0,6351.0,3.726784755770263,3.6751677852348994,3.4593970668115155,3.29907718120805,3.4,3.3,3.3,3.2,3.1,3.3,3.1,3.2126149378932087,2.992063492063492,2.944240879,2.9,2.960229132569558,2.93638797
Que.,85325.0,85349.0,85047.0,85203.0,85038.0,84701.0,81502.0,82821.0,81314,79526.0,79768.0,80608,77064,80589.0,75673.0,74330.0,73056.0,3.122201907976467,3.049151132409284,3.046068102718465,3.03148913196564,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.726578007145693,2.6633966573237826,2.611336535,2.6,2.62517153235571,2.557736531
Ont.,141614.0,141968.0,139458.0,140890.0,140220.0,138083.0,138012.0,137866.0,138215,138844.0,138301.0,139448,133215,138531.0,134019.0,138598.0,143286.0,2.751090993828294,2.750119745294714,2.6889264945252727,2.67977855064235,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.451666571051575,2.40421874413542,2.330118603,2.3,2.3257983520685723,2.329871725
Man.,15767.0,16085.0,16011.0,16047.0,16538.0,16542.0,16645.0,16942.0,16868,17262.0,16887.0,16774,16171,16116.0,15326.0,15123.0,15527.0,3.3706475550199784,3.422816288467516,3.3069139966273187,3.08923786377516,3.1,3.2,3.1,3.2,3.3,3.4,3.4,3.311792059139144,3.3104940943664585,3.108525689,3.2,3.251140646697084,3.307077993
Sask.,13922.0,14395.0,14381.0,14435.0,14905.0,15096.0,15441.0,15410.0,15379,15267.0,14995.0,14434,13993,13932.0,13135.0,12956.0,13026.0,3.0358425513575638,3.035151094129906,3.0251025658855433,3.01690335988916,3.1,3.0,2.8,2.9,2.9,3.0,3.0,3.054870444783151,2.980418780818981,2.966910709,3.2,3.1988267983945664,3.307538769
Alta.,49917.0,50691.0,49714.0,50067.0,51509.0,52282.0,54165.0,55244.0,53603,51646.0,50754.0,49962,46576,47068.0,45526.0,47413.0,49755.0,2.5344858671047095,2.531720981614456,2.521704147724987,2.52046258014261,2.5,2.5,2.5,2.5,2.6,2.5,2.6,2.566110243785277,2.5395267949158367,2.494454831,2.6,2.5979372745871387,2.536709878
B.C.,43510.0,43720.0,42601.0,42794.0,43036.0,42181.0,42779.0,42829.0,43578,42990.0,42117.0,42219,40676,42208.0,40438.0,40691.0,43062.0,2.8695961940658683,2.8576656526611925,2.896762986784348,2.93770154694583,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8789881333049103,2.852320778837644,2.76413865,2.8,2.8168882553881693,2.806047095
Y.T.,365.0,360.0,362.0,428.0,394.0,392.0,400.0,415.0,409,409.0,397.0,391,412,422.0,415.0,375.0,423.0,2.9013698630136986,2.841666666666667,2.925414364640884,2.64018691588785,2.7,2.5,2.5,2.5,2.4,2.4,2.4,2.317135549872123,2.0679611650485437,1.962085308,2.0,1.9893333333333334,1.936170213
N.W.T.,820.0,837.0,766.0,764.0,740.0,792.0,739.0,760.0,737,718.0,696.0,635,685,572.0,543.0,477.0,573.0,2.5146341463414634,2.4790919952210273,2.6631853785900783,2.71727748691099,2.5,2.4,2.4,2.5,2.4,2.5,2.4,2.2913385826771653,2.1737226277372264,2.024475524,2.1,2.2725366876310273,2.223385689
Nun.,405.0,398.0,387.0,383.0,375.0,422.0,399.0,382.0,n/r,400.0,372.0,n/r,n/r,429.0,370.0,327.0,290.0,1.4691358024691359,1.5477386934673367,1.7338501291989663,1.77023498694517,2.0,1.6,1.6,1.6,n/r,1.8,1.8,n/r,n/r,1.435897436,1.7,1.5412844036697249,1.551724138
